 ,Production (W),Consumption (W)
2021-08-21 00:00,0,1759
2021-08-21 00:15,0,693
2021-08-21 00:30,0,658
2021-08-21 00:45,0,662
2021-08-21 01:00,0,667
2021-08-21 01:15,0,712
2021-08-21 01:30,0,715
2021-08-21 01:45,0,761
2021-08-21 02:00,0,2115
2021-08-21 02:15,0,1113
2021-08-21 02:30,0,1089
2021-08-21 02:45,0,1135
2021-08-21 03:00,0,1032
2021-08-21 03:15,0,1054
2021-08-21 03:30,0,1041
2021-08-21 03:45,0,1704
2021-08-21 04:00,0,725
2021-08-21 04:15,0,1752
2021-08-21 04:30,0,336
2021-08-21 04:45,0,333
2021-08-21 05:00,0,327
2021-08-21 05:15,0,3440
2021-08-21 05:30,0,3227
2021-08-21 05:45,0,3271
2021-08-21 06:00,0,3137
2021-08-21 06:15,0,325
2021-08-21 06:30,0,316
2021-08-21 06:45,0,341
2021-08-21 07:00,1,322
2021-08-21 07:15,6,356
2021-08-21 07:30,33,380
2021-08-21 07:45,38,368
2021-08-21 08:00,132,275
2021-08-21 08:15,276,277
2021-08-21 08:30,82,290
2021-08-21 08:45,123,350
2021-08-21 09:00,449,451
2021-08-21 09:15,858,2368
2021-08-21 09:30,396,409
2021-08-21 09:45,314,321
2021-08-21 10:00,368,383
2021-08-21 10:15,1220,3043
2021-08-21 10:30,1220,3193
2021-08-21 10:45,409,3378
2021-08-21 11:00,335,2511
2021-08-21 11:15,323,328
2021-08-21 11:30,319,306
2021-08-21 11:45,254,250
2021-08-21 12:00,254,250
2021-08-21 12:15,250,249
2021-08-21 12:30,400,394
2021-08-21 12:45,387,378
2021-08-21 13:00,315,317
2021-08-21 13:15,250,243
2021-08-21 13:30,282,275
2021-08-21 13:45,371,348
2021-08-21 14:00,444,439
2021-08-21 14:15,384,377
2021-08-21 14:30,282,277
2021-08-21 14:45,282,339
2021-08-21 15:00,339,333
2021-08-21 15:15,339,330
2021-08-21 15:30,371,364
2021-08-21 15:45,363,351
2021-08-21 16:00,282,276
2021-08-21 16:15,719,3158
2021-08-21 16:30,332,332
2021-08-21 16:45,363,353
2021-08-21 17:00,351,407
2021-08-21 17:15,302,307
2021-08-21 17:30,180,721
2021-08-21 17:45,34,689
2021-08-21 18:00,22,801
2021-08-21 18:15,11,763
2021-08-21 18:30,1,810
2021-08-21 18:45,0,1626
2021-08-21 19:00,0,728
2021-08-21 19:15,0,1899
2021-08-21 19:30,0,1234
2021-08-21 19:45,0,1238
2021-08-21 20:00,0,1156
2021-08-21 20:15,0,720
2021-08-21 20:30,0,3969
2021-08-21 20:45,0,3948
2021-08-21 21:00,0,1194
2021-08-21 21:15,0,1153
2021-08-21 21:30,0,1065
2021-08-21 21:45,0,1044
2021-08-21 22:00,0,1040
2021-08-21 22:15,0,1085
2021-08-21 22:30,0,1185
2021-08-21 22:45,0,1113
2021-08-21 23:00,0,1667
2021-08-21 23:15,0,662
2021-08-21 23:30,0,728
2021-08-21 23:45,0,727
2021-08-22 00:00,0,1704
2021-08-22 00:15,0,674
2021-08-22 00:30,0,751
2021-08-22 00:45,0,828
2021-08-22 01:00,0,741
2021-08-22 01:15,0,672
2021-08-22 01:30,0,671
2021-08-22 01:45,0,676
2021-08-22 02:00,0,2103
2021-08-22 02:15,0,1125
2021-08-22 02:30,0,1142
2021-08-22 02:45,0,2160
2021-08-22 03:00,0,1125
2021-08-22 03:15,0,1093
2021-08-22 03:30,0,1114
2021-08-22 03:45,0,663
2021-08-22 04:00,0,681
2021-08-22 04:15,0,664
2021-08-22 04:30,0,334
2021-08-22 04:45,0,329
2021-08-22 05:00,0,338
2021-08-22 05:15,0,3383
2021-08-22 05:30,0,3416
2021-08-22 05:45,0,3312
2021-08-22 06:00,0,3197
2021-08-22 06:15,0,260
2021-08-22 06:30,0,259
2021-08-22 06:45,0,260
2021-08-22 07:00,2,262
2021-08-22 07:15,8,305
2021-08-22 07:30,35,337
2021-08-22 07:45,76,325
2021-08-22 08:00,133,314
2021-08-22 08:15,311,312
2021-08-22 08:30,307,304
2021-08-22 08:45,246,244
2021-08-22 09:00,246,243
2021-08-22 09:15,278,275
2021-08-22 09:30,288,1129
2021-08-22 09:45,901,346
2021-08-22 10:00,370,361
2021-08-22 10:15,317,314
2021-08-22 10:30,250,244
2021-08-22 10:45,250,246
2021-08-22 11:00,306,312
2021-08-22 11:15,263,255
2021-08-22 11:30,1220,3009
2021-08-22 11:45,1220,3228
2021-08-22 12:00,620,698
2021-08-22 12:15,400,406
2021-08-22 12:30,1226,2291
2021-08-22 12:45,428,324
2021-08-22 13:00,260,353
2021-08-22 13:15,440,442
2021-08-22 13:30,1220,2604
2021-08-22 13:45,317,375
2021-08-22 14:00,390,450
2021-08-22 14:15,355,458
2021-08-22 14:30,348,336
2021-08-22 14:45,359,348
2021-08-22 15:00,298,299
2021-08-22 15:15,278,273
2021-08-22 15:30,881,2565
2021-08-22 15:45,396,387
2021-08-22 16:00,303,250
2021-08-22 16:15,632,3143
2021-08-22 16:30,553,3317
2021-08-22 16:45,453,3289
2021-08-22 17:00,358,3216
2021-08-22 17:15,264,3062
2021-08-22 17:30,156,3339
2021-08-22 17:45,45,3131
2021-08-22 18:00,27,820
2021-08-22 18:15,10,850
2021-08-22 18:30,1,812
2021-08-22 18:45,0,729
2021-08-22 19:00,0,697
2021-08-22 19:15,0,1188
2021-08-22 19:30,0,1230
2021-08-22 19:45,0,1141
2021-08-22 20:00,0,1074
2021-08-22 20:15,0,704
2021-08-22 20:30,0,763
2021-08-22 20:45,0,853
2021-08-22 21:00,0,787
2021-08-22 21:15,0,720
2021-08-22 21:30,0,709
2021-08-22 21:45,0,768
2021-08-22 22:00,0,773
2021-08-22 22:15,0,801
2021-08-22 22:30,0,785
2021-08-22 22:45,0,706
2021-08-22 23:00,0,1380
2021-08-22 23:15,0,747
2021-08-22 23:30,0,700
2021-08-22 23:45,0,731
2021-08-23 00:00,0,732
2021-08-23 00:15,0,801
2021-08-23 00:30,0,686
2021-08-23 00:45,0,677
2021-08-23 01:00,0,675
2021-08-23 01:15,0,678
2021-08-23 01:30,0,735
2021-08-23 01:45,0,762
2021-08-23 02:00,0,2124
2021-08-23 02:15,0,1079
2021-08-23 02:30,0,1060
2021-08-23 02:45,0,1118
2021-08-23 03:00,0,2006
2021-08-23 03:15,0,1038
2021-08-23 03:30,0,1979
2021-08-23 03:45,0,1643
2021-08-23 04:00,0,812
2021-08-23 04:15,0,751
2021-08-23 04:30,0,269
2021-08-23 04:45,0,3749
2021-08-23 05:00,0,3643
2021-08-23 05:15,0,3644
2021-08-23 05:30,0,3583
2021-08-23 05:45,0,673
2021-08-23 06:00,0,662
2021-08-23 06:15,0,735
2021-08-23 06:30,0,806
2021-08-23 06:45,0,722
2021-08-23 07:00,1,649
2021-08-23 07:15,8,627
2021-08-23 07:30,38,631
2021-08-23 07:45,79,684
2021-08-23 08:00,141,630
2021-08-23 08:15,360,625
2021-08-23 08:30,508,649
2021-08-23 08:45,612,661
2021-08-23 09:00,384,375
2021-08-23 09:15,315,315
2021-08-23 09:30,358,330
2021-08-23 09:45,321,245
2021-08-23 10:00,282,275
2021-08-23 10:15,306,301
2021-08-23 10:30,250,246
2021-08-23 10:45,250,245
2021-08-23 11:00,251,245
2021-08-23 11:15,327,323
2021-08-23 11:30,388,370
2021-08-23 11:45,323,300
2021-08-23 12:00,1220,2303
2021-08-23 12:15,315,287
2021-08-23 12:30,343,495
2021-08-23 12:45,566,303
2021-08-23 13:00,493,591
2021-08-23 13:15,335,322
2021-08-23 13:30,769,263
2021-08-23 13:45,319,310
2021-08-23 14:00,310,307
2021-08-23 14:15,278,277
2021-08-23 14:30,380,374
2021-08-23 14:45,473,443
2021-08-23 15:00,496,449
2021-08-23 15:15,361,368
2021-08-23 15:30,278,276
2021-08-23 15:45,278,278
2021-08-23 16:00,289,286
2021-08-23 16:15,624,3075
2021-08-23 16:30,537,3192
2021-08-23 16:45,430,3167
2021-08-23 17:00,278,273
2021-08-23 17:15,249,368
2021-08-23 17:30,144,467
2021-08-23 17:45,43,424
2021-08-23 18:00,27,322
2021-08-23 18:15,13,340
2021-08-23 18:30,1,518
2021-08-23 18:45,0,486
2021-08-23 19:00,0,362
2021-08-23 19:15,0,1148
2021-08-23 19:30,0,1110
2021-08-23 19:45,0,1353
2021-08-23 20:00,0,1253
2021-08-23 20:15,0,814
2021-08-23 20:30,0,803
2021-08-23 20:45,0,858
2021-08-23 21:00,0,907
2021-08-23 21:15,0,856
2021-08-23 21:30,0,772
2021-08-23 21:45,0,800
2021-08-23 22:00,0,790
2021-08-23 22:15,0,912
2021-08-23 22:30,0,911
2021-08-23 22:45,0,791
2021-08-23 23:00,0,827
2021-08-23 23:15,0,823
2021-08-23 23:30,0,963
2021-08-23 23:45,0,827
2021-08-24 00:00,0,1690
2021-08-24 00:15,0,695
2021-08-24 00:30,0,687
2021-08-24 00:45,0,753
2021-08-24 01:00,0,770
2021-08-24 01:15,0,771
2021-08-24 01:30,0,763
2021-08-24 01:45,0,693
