 ,Production (W),Consumption (W)
2021-11-27 00:00,0,532
2021-11-27 00:15,0,2518
2021-11-27 00:30,0,448
2021-11-27 00:45,0,375
2021-11-27 01:00,0,433
2021-11-27 01:15,0,433
2021-11-27 01:30,0,424
2021-11-27 01:45,0,451
2021-11-27 02:00,0,447
2021-11-27 02:15,0,507
2021-11-27 02:30,0,424
2021-11-27 02:45,0,369
2021-11-27 03:00,0,367
2021-11-27 03:15,0,368
2021-11-27 03:30,0,521
2021-11-27 03:45,0,508
2021-11-27 04:00,0,501
2021-11-27 04:15,0,440
2021-11-27 04:30,0,367
2021-11-27 04:45,0,366
2021-11-27 05:00,0,430
2021-11-27 05:15,2,3527
2021-11-27 05:30,3,3446
2021-11-27 05:45,6,3399
2021-11-27 06:00,12,428
2021-11-27 06:15,74,416
2021-11-27 06:30,53,415
2021-11-27 06:45,123,351
2021-11-27 07:00,180,352
2021-11-27 07:15,171,432
2021-11-27 07:30,114,487
2021-11-27 07:45,108,517
2021-11-27 08:00,285,407
2021-11-27 08:15,532,374
2021-11-27 08:30,355,351
2021-11-27 08:45,497,498
2021-11-27 09:00,488,488
2021-11-27 09:15,427,426
2021-11-27 09:30,472,468
2021-11-27 09:45,396,386
2021-11-27 10:00,483,481
2021-11-27 10:15,472,472
2021-11-27 10:30,1220,1489
2021-11-27 10:45,1220,1399
2021-11-27 11:00,1225,1396
2021-11-27 11:15,1224,1444
2021-11-27 11:30,1225,1360
2021-11-27 11:45,1225,1340
2021-11-27 12:00,1225,1363
2021-11-27 12:15,1223,1372
2021-11-27 12:30,1220,1430
2021-11-27 12:45,1220,1417
2021-11-27 13:00,1221,1365
2021-11-27 13:15,1220,1296
2021-11-27 13:30,1220,1292
2021-11-27 13:45,1220,1368
2021-11-27 14:00,537,531
2021-11-27 14:15,533,531
2021-11-27 14:30,533,528
2021-11-27 14:45,400,389
2021-11-27 15:00,400,390
2021-11-27 15:15,1116,3459
2021-11-27 15:30,548,537
2021-11-27 15:45,535,528
2021-11-27 16:00,241,561
2021-11-27 16:15,98,499
2021-11-27 16:30,175,420
2021-11-27 16:45,155,480
2021-11-27 17:00,142,453
2021-11-27 17:15,109,479
2021-11-27 17:30,106,513
2021-11-27 17:45,74,547
2021-11-27 18:00,79,552
2021-11-27 18:15,98,538
2021-11-27 18:30,55,484
2021-11-27 18:45,63,402
2021-11-27 19:00,27,403
2021-11-27 19:15,14,520
2021-11-27 19:30,6,576
2021-11-27 19:45,1,563
2021-11-27 20:00,0,530
2021-11-27 20:15,0,418
2021-11-27 20:30,0,416
2021-11-27 20:45,0,565
2021-11-27 21:00,0,677
2021-11-27 21:15,0,618
2021-11-27 21:30,0,460
2021-11-27 21:45,0,444
2021-11-27 22:00,0,448
2021-11-27 22:15,0,579
2021-11-27 22:30,0,574
2021-11-27 22:45,0,445
2021-11-27 23:00,0,460
2021-11-27 23:15,0,447
2021-11-27 23:30,0,588
2021-11-27 23:45,0,531
2021-11-28 00:00,0,465
2021-11-28 00:15,0,366
2021-11-28 00:30,0,364
2021-11-28 00:45,0,427
2021-11-28 01:00,0,511
