 ,Production (W),Consumption (W)
2022-12-27 00:00,0,159
2022-12-27 00:15,0,244
2022-12-27 00:30,0,335
2022-12-27 00:45,0,266
2022-12-27 01:00,0,87
2022-12-27 01:15,0,86
2022-12-27 01:30,0,197
2022-12-27 01:45,0,242
2022-12-27 02:00,0,227
2022-12-27 02:15,0,328
2022-12-27 02:30,0,145
2022-12-27 02:45,0,87
2022-12-27 03:00,0,87
2022-12-27 03:15,0,3143
2022-12-27 03:30,0,3100
2022-12-27 03:45,0,336
2022-12-27 04:00,0,147
2022-12-27 04:15,0,149
2022-12-27 04:30,0,150
2022-12-27 04:45,0,175
2022-12-27 05:00,0,271
2022-12-27 05:15,1,275
2022-12-27 05:30,4,79
2022-12-27 05:45,15,143
2022-12-27 06:00,28,142
2022-12-27 06:15,41,330
2022-12-27 06:30,60,311
2022-12-27 06:45,103,67
2022-12-27 07:00,135,64
2022-12-27 07:15,177,178
2022-12-27 07:30,126,131
2022-12-27 07:45,433,646
2022-12-27 08:00,206,200
2022-12-27 08:15,473,468
2022-12-27 08:30,327,323
2022-12-27 08:45,380,375
2022-12-27 09:00,313,313
2022-12-27 09:15,942,2426
2022-12-27 09:30,515,551
2022-12-27 09:45,497,468
2022-12-27 10:00,552,371
2022-12-27 10:15,388,382
2022-12-27 10:30,453,420
2022-12-27 10:45,398,389
2022-12-27 11:00,386,384
2022-12-27 11:15,418,379
2022-12-27 11:30,378,373
2022-12-27 11:45,613,599
2022-12-27 12:00,564,634
2022-12-27 12:15,691,711
2022-12-27 12:30,681,671
2022-12-27 12:45,681,673
2022-12-27 13:00,551,542
2022-12-27 13:15,552,541
2022-12-27 13:30,551,540
2022-12-27 13:45,669,3549
2022-12-27 14:00,1220,3478
2022-12-27 14:15,1220,3589
2022-12-27 14:30,662,651
2022-12-27 14:45,1104,1587
2022-12-27 15:00,1052,1594
2022-12-27 15:15,1007,1095
2022-12-27 15:30,946,1014
2022-12-27 15:45,884,1106
2022-12-27 16:00,824,1095
2022-12-27 16:15,747,1175
2022-12-27 16:30,266,257
2022-12-27 16:45,267,256
2022-12-27 17:00,267,261
2022-12-27 17:15,189,183
2022-12-27 17:30,133,247
2022-12-27 17:45,74,326
2022-12-27 18:00,69,286
2022-12-27 18:15,62,232
2022-12-27 18:30,56,229
2022-12-27 18:45,50,203
2022-12-27 19:00,43,202
2022-12-27 19:15,34,123
2022-12-27 19:30,24,208
2022-12-27 19:45,14,211
2022-12-27 20:00,5,213
2022-12-27 20:15,1,0
2022-12-27 21:15,0,0
2022-12-27 22:00,0,321
2022-12-27 22:15,0,278
2022-12-27 22:30,0,233
2022-12-27 22:45,0,238
2022-12-27 23:00,0,235
2022-12-27 23:15,0,237
2022-12-27 23:30,0,225
2022-12-27 23:45,0,225
